id,year,dane_code,ind_1_icbf_children,ind_2_prescholar_children,ind_3_total_children,ind_4_overlaping_services,source_id
431,2015,19845,1266,0,1266,52.0,117
432,2015,20011,3757,0,3757,80.0,117
433,2015,20013,2361,0,2361,72.2,117
434,2015,20032,1602,0,1602,67.9,117
435,2015,20045,653,0,653,41.7,117
436,2015,20060,1197,0,1197,38.1,117
437,2015,20175,1836,0,1836,56.5,117
438,2015,20178,185,0,185,56.9,117
439,2015,20228,1524,0,1524,62.5,117
440,2015,20238,739,0,739,77.9,117
441,2015,20250,1374,0,1374,62.8,117
442,2015,20295,1116,0,1116,75.0,117
443,2015,20310,152,0,152,45.7,117
444,2015,20383,903,0,903,73.1,117
445,2015,20400,2086,0,2086,68.2,117
446,2015,20621,677,0,677,20.7,117
447,2015,20443,490,0,490,5.8,117
448,2015,20517,904,0,904,80.6,117
449,2015,20550,1252,0,1252,61.7,117
450,2015,20570,918,0,918,46.5,117
451,2015,20614,617,0,617,92.7,117
452,2015,20710,873,0,873,73.5,117
453,2015,20750,1403,0,1403,84.0,117
454,2015,20770,785,0,785,87.8,117
455,2015,20787,1097,0,1097,79.2,117
456,2015,25175,655,0,655,81.4,117
457,2015,27006,949,0,949,7.8,117
458,2015,27025,2584,0,2584,2.1,117
459,2015,27050,740,0,740,61.1,117
460,2015,27073,2033,0,2033,23.0,117
461,2015,27075,706,0,706,65.4,117
462,2015,27077,1781,0,1781,15.6,117
463,2015,27099,1283,0,1283,5.1,117
464,2015,27150,1441,0,1441,17.9,117
465,2015,27160,335,0,335,85.8,117
466,2015,27205,1214,0,1214,50.4,117
467,2015,27135,612,0,612,58.1,117
468,2015,27245,80,0,80,39.2,117
469,2015,27250,1527,0,1527,6.7,117
470,2015,27361,784,0,784,72.7,117
471,2015,27372,454,0,454,43.4,117
472,2015,27413,1422,0,1422,11.9,117
473,2015,27425,633,0,633,22.0,117
474,2015,27430,1006,0,1006,8.7,117
475,2015,27450,998,0,998,17.6,117
476,2015,27491,285,0,285,67.4,117
477,2015,27495,435,0,435,91.8,117
478,2015,27580,369,0,369,51.0,117
479,2015,27600,363,0,363,17.7,117
480,2015,05480,107,0,107,65.0,117
481,2015,27615,321,0,321,25.0,117
482,2015,27660,552,0,552,35.3,117
483,2015,27745,268,0,268,2.0,117
484,2015,27787,1457,0,1457,63.3,117
485,2015,27800,1231,0,1231,16.2,117
486,2015,27810,496,0,496,66.7,117
487,2015,47189,4263,0,4263,53.7,117
488,2015,23068,1847,0,1847,51.8,117
489,2015,23079,1022,0,1022,83.0,117
490,2015,23090,685,0,685,47.9,117
491,2015,23162,1866,0,1866,80.8,117
492,2015,23168,303,0,303,1.8,117
493,2015,23182,1331,0,1331,83.1,117
494,2015,23189,1166,0,1166,36.7,117
495,2015,23300,354,0,354,88.4,117
496,2015,23350,867,0,867,71.7,117
497,2015,23419,692,0,692,62.9,117
498,2015,23464,404,0,404,77.7,117
499,2015,23466,2162,0,2162,50.1,117
500,2015,23500,951,0,951,79.2,117
501,2015,23555,2623,0,2623,59.2,117
502,2015,23570,1399,0,1399,72.3,117
503,2015,23574,646,0,646,27.3,117
504,2015,23580,988,0,988,86.0,117
505,2015,23586,480,0,480,64.8,117
506,2015,23670,1707,0,1707,85.1,117
507,2015,23672,785,0,785,40.4,117
508,2015,23675,944,0,944,67.6,117
509,2015,23678,329,0,329,57.1,117
510,2015,23682,579,0,579,35.0,117
511,2015,23686,1405,0,1405,53.0,117
512,2015,23807,2529,0,2529,69.3,117
513,2015,23815,905,0,905,20.5,117
514,2015,23855,1289,0,1289,55.2,117
515,2015,54001,6787,0,6787,51.7,117
516,2015,25001,336,0,336,82.9,117
517,2015,25019,67,0,67,31.6,117
518,2015,25035,219,0,219,25.6,117
519,2015,25040,191,0,191,44.1,117
520,2015,25599,90,0,90,27.0,117
521,2015,25053,256,0,256,48.4,117
522,2015,25086,52,0,52,11.6,117
523,2015,25095,135,0,135,30.7,117
524,2015,25099,347,0,347,58.4,117
525,2015,25120,40,0,40,56.4,117
526,2015,25123,365,0,365,19.3,117
527,2015,25126,867,0,867,67.7,117
528,2015,25148,416,0,416,22.8,117
529,2015,25151,478,0,478,36.9,117
530,2015,25154,191,0,191,55.1,117
531,2015,25168,52,0,52,78.4,117
532,2015,25178,238,0,238,22.0,117
533,2015,25181,156,0,156,52.9,117
534,2015,25183,512,0,512,58.1,117
535,2015,25200,196,0,196,53.0,117
536,2015,25214,92,0,92,19.6,117
537,2015,25224,250,0,250,49.1,117
538,2015,25245,485,0,485,51.4,117
539,2015,25258,40,0,40,42.9,117
540,2015,25260,547,0,547,69.1,117
541,2015,25279,145,0,145,50.8,117
542,2015,25281,215,0,215,92.0,117
543,2015,25288,50,0,50,6.5,117
544,2015,25293,239,0,239,3.7,117
545,2015,25295,283,0,283,60.0,117
546,2015,25297,380,0,380,33.2,117
547,2015,25299,111,0,111,75.6,117
548,2015,25312,126,0,126,25.5,117
549,2015,25317,210,0,210,47.7,117
550,2015,25320,431,0,431,30.9,117
551,2015,25322,306,0,306,78.0,117
552,2015,25324,1,0,1,0.0,117
553,2015,25326,129,0,129,51.2,117
554,2015,25328,45,0,45,27.8,117
555,2015,25335,139,0,139,36.6,117
556,2015,25339,117,0,117,58.3,117
557,2015,25368,99,0,99,61.8,117
558,2015,25372,299,0,299,82.8,117
559,2015,25377,284,0,284,40.6,117
560,2015,25386,523,0,523,53.3,117
561,2015,25394,374,0,374,28.0,117
562,2015,25398,233,0,233,20.9,117
563,2015,25402,424,0,424,35.8,117
564,2015,25407,155,0,155,6.8,117
565,2015,25426,116,0,116,41.5,117
566,2015,25430,843,0,843,56.8,117
567,2015,25436,45,0,45,48.5,117
568,2015,25438,264,0,264,42.8,117
569,2015,25483,35,0,35,41.4,117
570,2015,25486,214,0,214,48.2,117
571,2015,25488,91,0,91,30.1,117
572,2015,25489,132,0,132,10.8,117
573,2015,25491,113,0,113,6.7,117
574,2015,25513,485,0,485,51.9,117
575,2015,25518,133,0,133,33.7,117
576,2015,25524,112,0,112,51.6,117
577,2015,25530,325,0,325,38.5,117
578,2015,25535,85,0,85,48.7,117
579,2015,25572,406,0,406,45.5,117
580,2015,25580,33,0,33,7.1,117
581,2015,25592,106,0,106,14.5,117
582,2015,25594,107,0,107,84.3,117
583,2015,25596,181,0,181,48.7,117
584,2015,25612,331,0,331,68.9,117
585,2015,25645,112,0,112,18.2,117
586,2015,25649,278,0,278,40.1,117
587,2015,25653,165,0,165,20.0,117
588,2015,25658,203,0,203,58.7,117
589,2015,25662,333,0,333,37.9,117
590,2015,25718,139,0,139,41.6,117
591,2015,25736,257,0,257,16.2,117
592,2015,25740,454,0,454,52.6,117
593,2015,25743,510,0,510,33.0,117
594,2015,25745,332,0,332,54.6,117
595,2015,25758,366,0,366,32.6,117
596,2015,25769,151,0,151,29.3,117
597,2015,25772,489,0,489,39.2,117
598,2015,25777,167,0,167,52.9,117
599,2015,25779,267,0,267,17.4,117
600,2015,25781,54,0,54,14.3,117
601,2015,25785,283,0,283,28.4,117
602,2015,25793,75,0,75,23.5,117
603,2015,25797,90,0,90,13.8,117
604,2015,25799,121,0,121,80.2,117
605,2015,25805,82,0,82,25.3,117
606,2015,25807,39,0,39,67.6,117
607,2015,25815,299,0,299,57.6,117
608,2015,25817,384,0,384,58.5,117
609,2015,25823,5,0,5,0.0,117
610,2015,25839,427,0,427,20.0,117
611,2015,25841,37,0,37,91.9,117
612,2015,25845,225,0,225,67.2,117
613,2015,25851,28,0,28,3.7,117
614,2015,25506,95,0,95,65.8,117
615,2015,25862,135,0,135,50.5,117
616,2015,25867,161,0,161,66.7,117
617,2015,25843,1538,0,1538,17.5,117
618,2015,25871,90,0,90,43.8,117
619,2015,25873,426,0,426,46.0,117
620,2015,25875,313,0,313,65.8,117
621,2015,25878,117,0,117,21.6,117
622,2015,25885,494,0,494,25.6,117
623,2015,25898,120,0,120,17.3,117
624,2015,66170,3026,0,3026,84.7,117
625,2015,15238,764,0,764,90.7,117
626,2015,05266,726,0,726,80.6,117
627,2015,25269,154,0,154,70.5,117
628,2015,18001,4375,0,4375,92.1,117
629,2015,68276,3238,0,3238,61.9,117
630,2015,25286,868,0,868,44.1,117
631,2015,25290,1443,0,1443,62.1,117
632,2015,25307,1123,0,1123,61.2,117
633,2015,68307,2037,0,2037,43.3,117
634,2015,94343,620,0,620,4.7,117
635,2015,94886,0,0,0,0.0,117
636,2015,94001,649,0,649,18.1,117
637,2015,94885,0,0,0,0.0,117
638,2015,05480,0,0,0,0.0,117
639,2015,94888,0,0,0,0.0,117
640,2015,94887,0,0,0,0.0,117
641,2015,94884,0,0,0,0.0,117
642,2015,94883,0,0,0,0.0,117
643,2015,95015,393,0,393,35.1,117
644,2015,95025,1094,0,1094,29.0,117
645,2015,95200,338,0,338,25.3,117
