id,dane_code,year_of_incident,kidnapping_class,amount,source_id
385,08573,2023,SECUESTRO EXTORSIVO,1,21
386,44430,2023,SECUESTRO EXTORSIVO,1,21
387,44430,2023,SECUESTRO EXTORSIVO,1,21
388,20787,2023,SECUESTRO EXTORSIVO,1,21
389,50568,2023,SECUESTRO EXTORSIVO,1,21
390,54001,2023,SECUESTRO SIMPLE,1,21
391,54810,2023,SECUESTRO EXTORSIVO,1,21
392,11001,2023,SECUESTRO SIMPLE,1,21
393,76109,2023,SECUESTRO EXTORSIVO,1,21
394,05380,2023,SECUESTRO EXTORSIVO,1,21
395,81001,2023,SECUESTRO EXTORSIVO,1,21
396,05042,2023,SECUESTRO EXTORSIVO,1,21
397,81065,2023,SECUESTRO SIMPLE,1,21
398,52001,2023,SECUESTRO EXTORSIVO,1,21
399,52356,2023,SECUESTRO EXTORSIVO,1,21
400,81001,2023,SECUESTRO SIMPLE,1,21
401,76001,2023,SECUESTRO SIMPLE,1,21
402,76001,2023,SECUESTRO SIMPLE,1,21
403,11001,2023,SECUESTRO SIMPLE,1,21
404,05212,2023,SECUESTRO EXTORSIVO,1,21
405,25269,2023,SECUESTRO EXTORSIVO,1,21
406,25269,2023,SECUESTRO EXTORSIVO,1,21
407,05790,2023,SECUESTRO SIMPLE,1,21
408,05790,2023,SECUESTRO SIMPLE,1,21
409,05790,2023,SECUESTRO SIMPLE,1,21
410,05790,2023,SECUESTRO SIMPLE,1,21
411,05380,2023,SECUESTRO EXTORSIVO,1,21
412,05380,2023,SECUESTRO EXTORSIVO,1,21
413,76001,2023,SECUESTRO EXTORSIVO,1,21
414,05001,2023,SECUESTRO SIMPLE,1,21
415,54001,2023,SECUESTRO EXTORSIVO,1,21
416,54001,2023,SECUESTRO EXTORSIVO,1,21
417,85325,2023,SECUESTRO EXTORSIVO,1,21
418,19698,2023,SECUESTRO EXTORSIVO,1,21
419,19698,2023,SECUESTRO EXTORSIVO,1,21
420,50680,2023,SECUESTRO EXTORSIVO,1,21
421,50680,2023,SECUESTRO EXTORSIVO,1,21
422,50577,2023,SECUESTRO EXTORSIVO,1,21
423,76130,2023,SECUESTRO EXTORSIVO,1,21
424,05361,2023,SECUESTRO SIMPLE,1,21
425,05361,2023,SECUESTRO SIMPLE,1,21
426,19001,2023,SECUESTRO EXTORSIVO,1,21
427,19001,2023,SECUESTRO EXTORSIVO,1,21
428,25035,2023,SECUESTRO EXTORSIVO,1,21
429,05190,2023,SECUESTRO EXTORSIVO,1,21
430,76001,2023,SECUESTRO EXTORSIVO,1,21
431,76001,2023,SECUESTRO EXTORSIVO,1,21
432,50568,2023,SECUESTRO SIMPLE,1,21
433,19532,2023,SECUESTRO EXTORSIVO,1,21
434,05001,2023,SECUESTRO EXTORSIVO,1,21
435,05001,2023,SECUESTRO EXTORSIVO,1,21
436,08001,2023,SECUESTRO EXTORSIVO,1,21
437,54001,2023,SECUESTRO EXTORSIVO,1,21
438,54001,2023,SECUESTRO EXTORSIVO,1,21
439,68406,2023,SECUESTRO SIMPLE,1,21
440,11001,2023,SECUESTRO EXTORSIVO,1,21
441,27430,2023,SECUESTRO EXTORSIVO,1,21
442,27430,2023,SECUESTRO EXTORSIVO,1,21
443,05001,2023,SECUESTRO SIMPLE,1,21
444,05001,2023,SECUESTRO EXTORSIVO,1,21
445,05001,2023,SECUESTRO EXTORSIVO,1,21
446,25473,2023,SECUESTRO EXTORSIVO,1,21
447,52835,2023,SECUESTRO EXTORSIVO,1,21
448,54498,2023,SECUESTRO EXTORSIVO,1,21
449,50568,2023,SECUESTRO EXTORSIVO,1,21
450,76109,2023,SECUESTRO EXTORSIVO,1,21
451,20787,2022,SECUESTRO EXTORSIVO,1,21
452,54810,2022,SECUESTRO SIMPLE,1,21
453,76001,2022,SECUESTRO SIMPLE,1,21
454,54810,2022,SECUESTRO SIMPLE,1,21
455,54810,2022,SECUESTRO SIMPLE,1,21
456,05088,2022,SECUESTRO EXTORSIVO,1,21
457,54874,2022,SECUESTRO EXTORSIVO,1,21
458,54874,2022,SECUESTRO EXTORSIVO,1,21
459,54874,2022,SECUESTRO EXTORSIVO,1,21
460,54874,2022,SECUESTRO EXTORSIVO,1,21
461,50313,2022,SECUESTRO EXTORSIVO,1,21
462,11001,2022,SECUESTRO EXTORSIVO,1,21
463,11001,2022,SECUESTRO EXTORSIVO,1,21
464,11001,2022,SECUESTRO EXTORSIVO,1,21
465,76001,2022,SECUESTRO EXTORSIVO,1,21
466,68547,2022,SECUESTRO SIMPLE,1,21
467,73001,2022,SECUESTRO EXTORSIVO,1,21
468,25335,2022,SECUESTRO SIMPLE,1,21
469,25335,2022,SECUESTRO SIMPLE,1,21
470,11001,2022,SECUESTRO EXTORSIVO,1,21
471,76001,2022,SECUESTRO EXTORSIVO,1,21
472,05059,2022,SECUESTRO EXTORSIVO,1,21
473,05059,2022,SECUESTRO EXTORSIVO,1,21
474,25599,2022,SECUESTRO EXTORSIVO,1,21
475,25599,2022,SECUESTRO EXTORSIVO,1,21
476,54001,2022,SECUESTRO SIMPLE,1,21
477,76001,2022,SECUESTRO EXTORSIVO,1,21
478,11001,2022,SECUESTRO EXTORSIVO,1,21
479,81736,2022,SECUESTRO SIMPLE,1,21
480,05120,2022,SECUESTRO SIMPLE,1,21
481,50313,2022,SECUESTRO EXTORSIVO,1,21
482,20383,2022,SECUESTRO EXTORSIVO,1,21
483,08001,2022,SECUESTRO EXTORSIVO,1,21
484,27600,2022,SECUESTRO EXTORSIVO,1,21
485,54001,2022,SECUESTRO SIMPLE,1,21
486,81736,2022,SECUESTRO SIMPLE,1,21
487,81736,2022,SECUESTRO SIMPLE,1,21
488,19212,2022,SECUESTRO SIMPLE,1,21
489,52835,2022,SECUESTRO EXTORSIVO,1,21
490,54001,2022,SECUESTRO EXTORSIVO,1,21
491,85139,2022,SECUESTRO EXTORSIVO,1,21
492,19780,2022,SECUESTRO SIMPLE,1,21
493,76520,2022,SECUESTRO EXTORSIVO,1,21
494,11001,2022,SECUESTRO EXTORSIVO,1,21
495,52490,2022,SECUESTRO EXTORSIVO,1,21
496,05154,2022,SECUESTRO SIMPLE,1,21
497,52356,2022,SECUESTRO EXTORSIVO,1,21
498,52356,2022,SECUESTRO EXTORSIVO,1,21
499,19100,2022,SECUESTRO SIMPLE,1,21
500,19100,2022,SECUESTRO SIMPLE,1,21
501,19100,2022,SECUESTRO SIMPLE,1,21
502,19100,2022,SECUESTRO SIMPLE,1,21
503,76001,2022,SECUESTRO EXTORSIVO,1,21
504,52079,2022,SECUESTRO EXTORSIVO,1,21
505,52079,2022,SECUESTRO EXTORSIVO,1,21
506,76520,2022,SECUESTRO EXTORSIVO,1,21
507,52356,2022,SECUESTRO SIMPLE,1,21
