id,codigodane,numerodesolicitantes,source_id
654,25183,1,119
655,25200,1,119
656,25214,1,119
657,25214,1,119
658,25214,2,119
659,25245,4,119
660,25258,33,119
661,25258,34,119
662,25260,1,119
663,25269,2,119
664,25279,2,119
665,25279,6,119
666,25281,4,119
667,25281,2,119
668,25286,1,119
669,25290,20,119
670,25290,11,119
671,25290,1,119
672,25293,15,119
673,25293,5,119
674,25297,4,119
675,25299,2,119
676,25307,1,119
677,25307,9,119
678,25312,3,119
679,25312,7,119
680,25317,1,119
681,25320,12,119
682,25320,9,119
683,25320,1,119
684,25322,1,119
685,25322,4,119
686,25324,7,119
687,25324,4,119
688,25326,0,119
689,25328,16,119
690,25328,4,119
691,25335,11,119
692,25335,7,119
693,25339,3,119
694,25339,4,119
695,25368,6,119
696,25368,3,119
697,25372,2,119
698,25372,4,119
699,25377,3,119
700,25386,6,119
701,25386,3,119
702,25398,18,119
703,25398,13,119
704,25402,1,119
705,25402,2,119
706,25436,2,119
707,25438,67,119
708,25473,1,119
709,25483,1,119
710,25483,2,119
711,25488,3,119
712,25488,1,119
713,25489,6,119
714,25489,3,119
715,25491,1,119
716,25491,1,119
717,25513,34,119
718,25518,4,119
719,25518,10,119
720,25524,12,119
721,25524,2,119
722,25530,30,119
723,25535,21,119
