id,dane_code,year,species,total,source_id
651,13894,2019,EQUINOS,611,121
652,13894,2019,OVINOS,529,121
653,13894,2019,BUFALOS,329,121
654,15001,2019,CAPRINOS,35,121
655,15001,2019,EQUINOS,293,121
656,15001,2019,OVINOS,1890,121
657,15001,2019,BUFALOS,6,121
658,15022,2019,CAPRINOS,70,121
659,15022,2019,EQUINOS,13,121
660,15022,2019,OVINOS,141,121
661,15047,2019,CAPRINOS,235,121
662,15047,2019,EQUINOS,450,121
663,15047,2019,OVINOS,2520,121
664,15047,2019,BUFALOS,24,121
665,15051,2019,CAPRINOS,200,121
666,15051,2019,EQUINOS,480,121
667,15051,2019,OVINOS,280,121
668,15051,2019,BUFALOS,2,121
669,15087,2019,CAPRINOS,73,121
670,15087,2019,EQUINOS,150,121
671,15087,2019,OVINOS,113,121
672,15087,2019,BUFALOS,13,121
673,15090,2019,CAPRINOS,15,121
674,15090,2019,EQUINOS,120,121
675,15090,2019,OVINOS,115,121
676,15092,2019,CAPRINOS,410,121
677,15092,2019,EQUINOS,85,121
678,15092,2019,OVINOS,2190,121
679,15092,2019,BUFALOS,2,121
680,15097,2019,CAPRINOS,2730,121
681,15097,2019,EQUINOS,239,121
682,15097,2019,OVINOS,1300,121
683,15097,2019,BUFALOS,4,121
684,15104,2019,CAPRINOS,31,121
685,15104,2019,EQUINOS,178,121
686,15104,2019,OVINOS,206,121
687,15106,2019,CAPRINOS,2,121
688,15106,2019,EQUINOS,82,121
689,15109,2019,CAPRINOS,30,121
690,15109,2019,EQUINOS,142,121
691,15109,2019,OVINOS,38,121
692,15114,2019,CAPRINOS,12,121
693,15114,2019,EQUINOS,25,121
694,15114,2019,OVINOS,450,121
695,15114,2019,BUFALOS,4,121
696,15131,2019,CAPRINOS,45,121
697,15131,2019,EQUINOS,301,121
698,15131,2019,OVINOS,254,121
699,15135,2019,CAPRINOS,20,121
700,15135,2019,EQUINOS,1050,121
701,15135,2019,OVINOS,10,121
702,15162,2019,CAPRINOS,35,121
703,15162,2019,EQUINOS,69,121
704,15162,2019,OVINOS,283,121
705,15162,2019,BUFALOS,16,121
706,15172,2019,CAPRINOS,230,121
707,15172,2019,EQUINOS,160,121
708,15172,2019,OVINOS,116,121
709,15176,2019,CAPRINOS,154,121
710,15176,2019,EQUINOS,750,121
711,15176,2019,OVINOS,320,121
712,15176,2019,BUFALOS,1,121
713,15180,2019,CAPRINOS,1810,121
714,15180,2019,EQUINOS,890,121
715,15180,2019,OVINOS,4400,121
716,15180,2019,BUFALOS,11,121
717,15183,2019,CAPRINOS,2460,121
718,15183,2019,EQUINOS,1400,121
719,15183,2019,OVINOS,10780,121
720,15185,2019,CAPRINOS,12,121
721,15185,2019,EQUINOS,600,121
722,15185,2019,OVINOS,30,121
723,15187,2019,CAPRINOS,35,121
724,15187,2019,EQUINOS,92,121
