id,dane_code,area,year_of_incident,amount,source_id
695,54398,1,2022,1,25
696,54810,0,2022,1,25
697,05038,0,2022,1,25
698,05038,0,2022,1,25
699,05038,1,2022,1,25
700,54810,0,2022,1,25
701,27077,0,2022,1,25
702,54206,1,2022,1,25
703,54800,0,2022,1,25
704,54810,0,2022,1,25
705,05038,0,2022,1,25
706,05315,0,2022,1,25
707,11001,1,2022,1,25
708,76001,1,2022,1,25
709,54670,1,2022,1,25
710,54810,1,2022,1,25
711,54344,1,2022,1,25
712,54810,1,2022,1,25
713,54003,0,2022,1,25
714,54174,0,2022,1,25
715,27025,0,2022,1,25
716,54206,1,2022,1,25
717,54498,0,2022,1,25
718,54800,1,2022,1,25
719,54001,1,2022,1,25
720,54344,1,2022,1,25
721,05282,0,2022,1,25
722,05315,0,2022,1,25
723,05315,0,2022,1,25
724,54670,0,2022,1,25
725,54810,0,2022,1,25
726,27250,0,2022,1,25
727,54670,0,2022,1,25
728,27025,0,2022,1,25
729,05038,1,2022,1,25
730,11001,1,2022,1,25
731,54670,0,2022,1,25
732,54670,0,2022,1,25
733,54261,1,2022,1,25
734,20011,1,2022,1,25
735,54250,0,2022,1,25
736,27025,0,2022,1,25
737,54003,0,2022,1,25
738,13001,1,2022,1,25
739,05854,0,2022,1,25
740,05854,1,2022,1,25
741,54109,0,2022,1,25
742,20178,0,2022,1,25
743,76233,0,2022,1,25
744,41001,1,2022,1,25
745,20517,0,2022,1,25
746,20517,0,2022,1,25
747,20517,0,2022,1,25
748,52612,0,2022,1,25
749,05854,0,2022,1,25
750,05854,0,2022,1,25
751,05854,0,2022,1,25
752,05854,1,2022,1,25
753,27025,0,2022,1,25
754,54245,0,2022,1,25
755,19256,0,2022,1,25
756,52435,0,2022,1,25
757,20517,0,2022,1,25
758,54720,0,2022,1,25
759,54810,0,2022,1,25
760,52022,0,2022,1,25
761,54109,0,2022,1,25
762,54172,0,2022,1,25
763,54001,1,2022,1,25
764,20228,0,2022,1,25
765,54480,0,2022,1,25
766,20517,0,2022,1,25
767,54518,0,2022,1,25
768,85250,0,2022,1,25
769,68549,0,2022,1,25
770,54720,0,2022,1,25
771,54810,0,2022,1,25
772,54810,0,2022,1,25
773,20228,0,2022,1,25
774,27001,1,2022,1,25
775,54800,0,2022,1,25
776,54810,1,2022,1,25
777,54670,0,2022,1,25
778,13683,1,2022,1,25
779,54001,1,2022,1,25
780,54001,1,2022,1,25
781,76834,1,2022,1,25
782,54250,0,2022,1,25
783,81736,1,2022,1,25
784,52435,0,2022,1,25
785,13683,1,2022,1,25
786,54720,0,2022,1,25
787,54800,0,2022,1,25
788,54810,0,2022,1,25
789,19142,1,2022,1,25
790,47189,1,2022,1,25
791,70001,1,2022,1,25
792,68081,0,2022,1,25
793,47189,1,2022,1,25
794,54001,1,2022,1,25
795,27077,0,2022,1,25
796,47189,1,2022,1,25
797,19256,0,2022,1,25
798,50313,1,2022,1,25
799,41357,0,2022,1,25
800,95015,0,2022,1,25
801,54001,1,2022,1,25
802,19513,1,2022,1,25
803,27001,1,2022,1,25
804,27001,1,2022,1,25
805,54800,1,2022,1,25
806,54261,1,2022,1,25
807,19355,1,2022,1,25
808,05579,0,2022,1,25
809,81300,0,2022,1,25
810,52435,0,2022,1,25
811,76834,0,2022,1,25
812,19212,1,2022,1,25
813,44650,0,2022,1,25
814,54250,0,2022,1,25
815,54820,1,2022,1,25
816,05040,0,2022,1,25
817,76001,1,2022,1,25
818,19698,1,2022,1,25
819,20011,0,2022,1,25
820,27075,1,2022,1,25
821,20178,1,2022,1,25
822,54206,1,2022,1,25
823,54206,0,2022,1,25
824,54344,1,2022,1,25
825,54498,0,2022,1,25
826,54498,0,2022,1,25
827,54498,0,2022,1,25
828,27001,1,2022,1,25
829,05604,1,2022,1,25
830,54670,0,2022,1,25
831,95001,0,2022,1,25
832,54810,0,2022,1,25
833,20517,1,2022,1,25
834,76036,1,2022,1,25
835,54245,0,2022,1,25
836,54344,1,2022,1,25
837,81001,0,2022,1,25
838,52356,0,2022,1,25
839,76834,0,2022,1,25
840,76834,0,2022,1,25
841,54344,1,2022,1,25
842,54810,1,2022,1,25
843,44098,1,2022,1,25
844,05604,0,2022,1,25
845,05604,0,2022,1,25
846,54810,1,2022,1,25
847,54344,1,2022,1,25
848,70742,1,2022,1,25
849,81736,1,2022,1,25
850,27001,1,2022,1,25
851,27001,1,2022,1,25
852,81736,0,2022,1,25
853,81794,0,2022,1,25
854,81794,1,2022,1,25
855,54810,1,2022,1,25
856,19212,0,2022,1,25
857,54810,0,2022,1,25
858,54810,1,2022,1,25
859,54206,1,2022,1,25
860,27001,1,2022,1,25
861,27001,1,2022,1,25
862,81736,1,2022,1,25
863,76001,1,2022,1,25
864,76001,1,2022,1,25
865,54810,1,2022,1,25
866,50350,1,2022,1,25
867,05120,0,2022,1,25
868,27001,1,2022,1,25
869,54250,0,2022,1,25
870,19212,1,2022,1,25
871,54250,1,2022,1,25
872,76001,0,2021,1,25
873,76001,0,2021,1,25
874,76001,0,2021,1,25
875,54001,1,2021,1,25
876,54001,1,2021,1,25
877,19075,0,2021,1,25
878,54001,1,2021,1,25
879,95025,0,2021,1,25
880,05030,1,2021,1,25
881,05030,1,2021,1,25
882,05038,1,2021,1,25
883,05040,1,2021,1,25
884,05040,1,2021,1,25
885,05040,1,2021,1,25
886,05040,1,2021,1,25
887,50711,1,2021,1,25
888,27001,1,2021,1,25
889,27001,1,2021,1,25
890,27001,1,2021,1,25
891,05854,0,2021,1,25
892,52227,1,2021,1,25
893,52227,1,2021,1,25
894,54398,0,2021,1,25
895,54398,0,2021,1,25
896,05736,1,2021,1,25
897,54003,0,2021,1,25
898,05670,0,2021,1,25
899,27001,1,2021,1,25
900,54001,1,2021,1,25
901,05736,0,2021,1,25
902,19698,1,2021,1,25
903,19698,1,2021,1,25
904,54810,0,2021,1,25
905,54810,0,2021,1,25
906,54810,1,2021,1,25
907,05854,0,2021,1,25
908,27001,1,2021,1,25
909,54874,1,2021,1,25
910,68081,0,2021,1,25
911,68081,0,2021,1,25
912,54810,0,2021,1,25
913,54261,0,2021,1,25
914,54261,0,2021,1,25
915,54800,1,2021,1,25
916,54800,1,2021,1,25
917,05649,0,2021,1,25
918,54810,0,2021,1,25
919,81065,1,2021,1,25
920,52356,1,2021,1,25
921,63401,1,2021,1,25
922,05854,0,2021,1,25
923,76834,1,2021,1,25
924,52079,0,2021,1,25
925,05649,0,2021,1,25
926,68081,0,2021,1,25
927,54001,1,2021,1,25
928,54001,1,2021,1,25
929,81736,1,2021,1,25
930,05361,0,2021,1,25
931,05361,0,2021,1,25
932,54245,1,2021,1,25
933,81001,0,2021,1,25
934,81001,0,2021,1,25
935,54250,1,2021,1,25
936,05591,1,2021,1,25
937,54001,1,2021,1,25
938,54001,1,2021,1,25
939,05040,1,2021,1,25
940,05040,1,2021,1,25
941,73555,1,2021,1,25
942,05790,1,2021,1,25
943,54001,0,2021,1,25
944,05790,0,2021,1,25
945,05790,0,2021,1,25
946,05790,0,2021,1,25
947,05790,0,2021,1,25
948,54720,0,2021,1,25
949,05790,0,2021,1,25
950,20614,0,2021,1,25
951,54810,1,2021,1,25
952,27001,1,2021,1,25
953,27001,1,2021,1,25
954,05138,0,2021,1,25
955,25269,1,2021,1,25
956,25269,1,2021,1,25
957,54003,1,2021,1,25
958,54720,1,2021,1,25
959,54720,1,2021,1,25
960,27001,1,2021,1,25
961,68001,1,2021,1,25
962,68001,1,2021,1,25
963,68001,1,2021,1,25
964,25295,1,2021,1,25
965,25295,1,2021,1,25
966,54109,0,2021,1,25
967,05736,0,2021,1,25
968,05736,0,2021,1,25
969,05736,0,2021,1,25
970,54670,0,2021,1,25
971,54172,1,2021,1,25
972,54172,1,2021,1,25
973,54344,1,2021,1,25
974,54344,1,2021,1,25
975,54810,1,2021,1,25
976,54810,1,2021,1,25
977,54810,1,2021,1,25
978,05887,0,2021,1,25
979,27001,1,2021,1,25
980,27001,1,2021,1,25
981,54001,1,2021,1,25
982,05887,0,2021,1,25
983,05858,1,2021,1,25
984,54001,1,2021,1,25
985,50330,1,2021,1,25
986,54810,1,2021,1,25
987,54810,1,2021,1,25
988,05790,0,2021,1,25
989,05854,0,2021,1,25
990,05854,0,2021,1,25
991,05854,0,2021,1,25
